pop	clust1	clust2	clust3	clust4
half	0.2601	0.0371	0.3173	0.3855
half	0.1274	0.0514	0.5861	0.2352
half	0.3020	0.1121	0.3113	0.2746
half	0.2903	0.1226	0.1120	0.4751
half	0.3102	0.0272	0.1415	0.5211
half	0.0290	0.9117	0.0253	0.0340
half	0.1328	0.2789	0.5047	0.0835
half	0.1687	0.1210	0.1268	0.5835
half	0.2152	0.0145	0.0404	0.7299
half	0.3353	0.1161	0.1088	0.4397
half	0.1904	0.0860	0.0979	0.6257
half	0.2226	0.1312	0.4678	0.1783
half	0.4109	0.0567	0.1346	0.3978
half	0.1470	0.1250	0.3937	0.3343
half	0.4703	0.1121	0.1144	0.3032
half	0.1918	0.0728	0.2590	0.4765
half	0.3680	0.1286	0.0947	0.4087
half	0.4543	0.0612	0.1086	0.3759
half	0.1496	0.0563	0.5465	0.2476
half	0.4179	0.0505	0.2345	0.2971
half	0.6934	0.0980	0.0735	0.1351
half	0.1999	0.0446	0.5395	0.2159
half	0.3189	0.0700	0.2207	0.3904
half	0.0964	0.0495	0.7456	0.1085
half	0.1767	0.1025	0.4221	0.2987
half	0.6289	0.0680	0.0663	0.2368
half	0.5463	0.0305	0.0484	0.3748
half	0.1901	0.0794	0.6155	0.1150
half	0.0478	0.7857	0.1140	0.0525
half	0.1547	0.3141	0.2913	0.2399
half	0.2850	0.0580	0.2030	0.4540
half	0.1846	0.1375	0.2764	0.4015
half	0.1943	0.1492	0.0471	0.6094
half	0.1795	0.0286	0.2956	0.4963
half	0.3705	0.0954	0.3503	0.1838
half	0.3509	0.0590	0.2895	0.3006
half	0.3225	0.1300	0.0554	0.4921
half	0.1138	0.0379	0.5357	0.3126
half	0.1167	0.2624	0.5198	0.1011
half	0.3438	0.1451	0.2810	0.2301
half	0.1337	0.0960	0.5823	0.1880
half	0.3340	0.1174	0.1429	0.4057
half	0.1573	0.0853	0.1413	0.6161
half	0.1814	0.1334	0.0653	0.6200
half	0.1640	0.0501	0.1246	0.6612
