pop	clust1	clust2	clust3
half	0.7359	0.0848	0.1792
summer	0.1817	0.2885	0.5298
summer	0.1124	0.0980	0.7896
summer	0.0639	0.0553	0.8808
summer	0.0581	0.1122	0.8297
summer	0.0823	0.0688	0.8489
winter	0.6268	0.2821	0.0911
half	0.4589	0.1983	0.3427
winter	0.6083	0.1574	0.2343
winter	0.7495	0.1081	0.1424
winter	0.4853	0.1972	0.3175
winter	0.6648	0.2449	0.0903
half	0.1368	0.6802	0.1830
winter	0.7706	0.1290	0.1004
summer	0.1733	0.4296	0.3971
summer	0.0726	0.0887	0.8387
summer	0.1273	0.0592	0.8135
summer	0.2332	0.1424	0.6244
summer	0.1423	0.1025	0.7553
summer	0.2960	0.1137	0.5903
winter	0.6308	0.0919	0.2773
winter	0.5756	0.1614	0.2630
winter	0.4673	0.0627	0.4700
winter	0.5185	0.3405	0.1410
winter	0.6183	0.1500	0.2317
half	0.3638	0.3929	0.2432
winter	0.4189	0.3289	0.2521
summer	0.1248	0.2257	0.6495
half	0.1665	0.2259	0.6076
summer	0.2631	0.0940	0.6429
summer	0.0612	0.2241	0.7147
summer	0.0736	0.0916	0.8348
summer	0.0642	0.0607	0.8751
winter	0.6081	0.1706	0.2213
winter	0.7271	0.0787	0.1942
winter	0.5372	0.1651	0.2977
winter	0.7148	0.1568	0.1284
half	0.1705	0.1743	0.6551
winter	0.5863	0.1599	0.2538
half	0.4644	0.1825	0.3531
summer	0.3740	0.1155	0.5105
summer	0.1292	0.0370	0.8337
summer	0.1151	0.2740	0.6109
summer	0.0681	0.1024	0.8295
summer	0.1193	0.1121	0.7686
winter	0.4586	0.2127	0.3287
half	0.3017	0.5095	0.1888
winter	0.5559	0.1352	0.3089
winter	0.6655	0.0975	0.2370
winter	0.6858	0.2011	0.1131
winter	0.7384	0.1313	0.1303
half	0.5897	0.2678	0.1425
winter	0.7356	0.1141	0.1503
half	0.1294	0.8204	0.0502
summer	0.0795	0.0447	0.8758
half	0.0646	0.8111	0.1243
summer	0.2061	0.1173	0.6766
summer	0.1298	0.1217	0.7485
summer	0.1031	0.1679	0.7290
summer	0.0726	0.0557	0.8717
winter	0.2099	0.1988	0.5912
half	0.5079	0.0875	0.4046
winter	0.7927	0.0922	0.1151
winter	0.5147	0.1751	0.3102
winter	0.7638	0.0983	0.1379
winter	0.4583	0.2171	0.3246
half	0.4746	0.2756	0.2498
half	0.4169	0.2330	0.3501
summer	0.1467	0.1766	0.6768
summer	0.0700	0.1363	0.7937
summer	0.0957	0.0284	0.8759
summer	0.0807	0.0573	0.8620
summer	0.0663	0.0518	0.8819
half	0.6866	0.0809	0.2325
winter	0.7499	0.1123	0.1378
winter	0.6056	0.1887	0.2056
winter	0.3882	0.1773	0.4345
winter	0.6503	0.1974	0.1523
summer	0.1407	0.3021	0.5572
summer	0.1004	0.0899	0.8097
summer	0.0871	0.0591	0.8538
summer	0.1177	0.0939	0.7883
summer	0.0718	0.0330	0.8952
half	0.1175	0.5551	0.3274
winter	0.7688	0.0981	0.1331
winter	0.4833	0.0959	0.4207
winter	0.5862	0.1559	0.2579
half	0.3442	0.3221	0.3336
half	0.6490	0.1051	0.2459
summer	0.1815	0.0961	0.7224
summer	0.0670	0.1019	0.8311
summer	0.0674	0.0295	0.9031
summer	0.2527	0.0537	0.6936
summer	0.0911	0.0677	0.8412
half	0.1997	0.6407	0.1597
half	0.2756	0.5760	0.1484
half	0.1236	0.1488	0.7276
half	0.0579	0.8485	0.0936
half	0.1476	0.1016	0.7508
half	0.6542	0.2208	0.1250
half	0.1614	0.1874	0.6512
half	0.6729	0.2357	0.0913
half	0.0591	0.8690	0.0719
half	0.0736	0.7056	0.2208
half	0.0984	0.8430	0.0586
half	0.7258	0.1511	0.1231
half	0.5229	0.1711	0.3059
half	0.5305	0.1069	0.3626
half	0.6287	0.2231	0.1481
half	0.1782	0.5459	0.2759
half	0.2135	0.5192	0.2673
half	0.3416	0.2736	0.3848
half	0.1231	0.5438	0.3331
half	0.6678	0.0994	0.2329
half	0.0548	0.8839	0.0613
half	0.7982	0.1075	0.0943
half	0.8286	0.1237	0.0477
half	0.4253	0.3040	0.2708
half	0.5016	0.2139	0.2845
half	0.1780	0.2022	0.6199
half	0.4283	0.3316	0.2401
half	0.3923	0.3724	0.2353
half	0.7417	0.0550	0.2033
half	0.2063	0.0861	0.7076
half	0.2766	0.1281	0.5953
half	0.0657	0.8843	0.0500
half	0.5469	0.1175	0.3356
half	0.3816	0.2566	0.3618
half	0.1275	0.0760	0.7965
half	0.5713	0.2818	0.1469
half	0.3075	0.5122	0.1803
half	0.1248	0.5477	0.3275
half	0.7833	0.0928	0.1239
half	0.6814	0.2448	0.0738
half	0.5961	0.0848	0.3191
half	0.2010	0.1237	0.6752
half	0.3526	0.5560	0.0914
half	0.0501	0.9106	0.0393
half	0.7321	0.0732	0.1947
half	0.1191	0.0819	0.7990
half	0.0836	0.0944	0.8220
half	0.0668	0.8415	0.0917
half	0.4436	0.1960	0.3604
half	0.4378	0.2972	0.2650
half	0.1261	0.2312	0.6427
half	0.1018	0.6340	0.2642
half	0.3194	0.5945	0.0861
half	0.0999	0.8309	0.0692
half	0.1705	0.1196	0.7098
half	0.0945	0.0753	0.8302
half	0.6845	0.0867	0.2288
